DC,PUE,Timestamp
Bjumper Lab,1.71,12/23/2021
Bjumper Lab,1.75,12/24/2021
Bjumper Lab,1.75,12/25/2021
Bjumper Lab,1.72,12/26/2021
Bjumper Lab,1.72,12/27/2021
Bjumper Lab,1.72,12/28/2021
Bjumper Lab,1.72,12/29/2021
Bjumper Lab,1.72,12/30/2021
Bjumper Lab,1.73,12/31/2021
Bjumper Lab,1.72,1/1/2022
Bjumper Lab,1.71,1/2/2022
Bjumper Lab,1.74,1/3/2022
Bjumper Lab,1.65,1/4/2022
Bjumper Lab,1.62,1/5/2022
Bjumper Lab,1.64,1/6/2022
Bjumper Lab,1.67,1/7/2022
Bjumper Lab,1.72,1/8/2022
Bjumper Lab,1.68,1/9/2022
Bjumper Lab,1.64,1/10/2022
Bjumper Lab,1.62,1/11/2022
Bjumper Lab,1.63,1/12/2022
Bjumper Lab,1.64,1/13/2022
Bjumper Lab,1.67,1/14/2022
Bjumper Lab,1.64,1/15/2022
Bjumper Lab,1.62,1/16/2022
Bjumper Lab,1.64,1/17/2022
Bjumper Lab,1.63,1/18/2022
Bjumper Lab,1.64,1/19/2022
Bjumper Lab,1.65,1/20/2022
Bjumper Lab,1.62,1/21/2022
Bjumper Lab,1.65,1/22/2022
Bjumper Lab,1.64,1/23/2022
Bjumper Lab,1.67,1/24/2022
Bjumper Lab,1.67,1/25/2022
Bjumper Lab,1.62,1/26/2022
Bjumper Lab,1.63,1/27/2022
Bjumper Lab,1.64,1/28/2022
Bjumper Lab,1.65,1/29/2022
Bjumper Lab,1.62,1/30/2022
Bjumper Lab,1.64,1/31/2022
Bjumper Lab,1.64,2/1/2022
Bjumper Lab,1.63,2/2/2022
Bjumper Lab,1.64,2/3/2022
Bjumper Lab,1.65,2/4/2022
Bjumper Lab,1.62,2/5/2022
Bjumper Lab,1.65,2/6/2022
Bjumper Lab,1.64,2/7/2022
Bjumper Lab,1.67,2/8/2022
Bjumper Lab,1.67,2/9/2022
Bjumper Lab,1.62,2/10/2022
Bjumper Lab,1.63,2/11/2022
Bjumper Lab,1.64,2/12/2022
Bjumper Lab,1.65,2/13/2022
Bjumper Lab,1.62,2/14/2022
Bjumper Lab,1.64,2/15/2022
Bjumper Lab,1.63,2/16/2022
Bjumper Lab,1.64,2/17/2022
Bjumper Lab,1.65,2/18/2022
Bjumper Lab,1.62,2/19/2022
Bjumper Lab,1.65,2/20/2022
Bjumper Lab,1.64,2/21/2022
Bjumper Lab,1.67,2/22/2022
Bjumper Lab,1.67,2/23/2022
Bjumper Lab,1.62,2/24/2022
Bjumper Lab,1.63,2/25/2022
Bjumper Lab,1.64,2/26/2022
Bjumper Lab,1.65,2/27/2022
Bjumper Lab,1.62,2/28/2022
Bjumper Lab,1.7,11/1/2021
Bjumper Lab,1.75,11/2/2021
Bjumper Lab,1.74,11/3/2021
Bjumper Lab,1.76,11/4/2021
Bjumper Lab,1.65,11/5/2021
Bjumper Lab,1.65,11/6/2021
Bjumper Lab,1.64,11/7/2021
Bjumper Lab,1.63,11/8/2021
Bjumper Lab,1.55,11/9/2021
Bjumper Lab,1.54,11/10/2021
Bjumper Lab,1.54,11/11/2021
Bjumper Lab,1.54,11/12/2021
Bjumper Lab,1.54,11/13/2021
Bjumper Lab,1.53,11/14/2021
Bjumper Lab,1.55,11/15/2021
Bjumper Lab,1.5,11/16/2021
Bjumper Lab,1.45,11/17/2021
Bjumper Lab,1.41,11/18/2021
Bjumper Lab,1.35,11/19/2021
Bjumper Lab,1.36,11/20/2021
Bjumper Lab,1.37,11/21/2021
Bjumper Lab,1.35,11/22/2021
Bjumper Lab,1.32,11/23/2021
Bjumper Lab,1.35,11/24/2021
Bjumper Lab,1.36,11/25/2021
Bjumper Lab,1.35,11/26/2021
Bjumper Lab,1.35,11/27/2021
Bjumper Lab,1.35,11/28/2021
Bjumper Lab,1.35,11/29/2021
Bjumper Lab,1.35,11/30/2021
Bjumper Lab,1.32,12/1/2021
Bjumper Lab,1.2,12/2/2021
Bjumper Lab,1.2,12/3/2021
Bjumper Lab,1.21,12/4/2021
Bjumper Lab,1.22,12/5/2021
Bjumper Lab,1.23,12/6/2021
Bjumper Lab,1.21,12/7/2021
Bjumper Lab,1.24,12/8/2021
Bjumper Lab,1.24,12/9/2021
Bjumper Lab,1.23,12/10/2021
Bjumper Lab,1.22,12/11/2021
Bjumper Lab,1.24,12/12/2021
Bjumper Lab,1.23,12/13/2021
Bjumper Lab,1.21,12/14/2021
Bjumper Lab,1.25,12/15/2021
Bjumper Lab,1.24,12/16/2021
Bjumper Lab,1.26,12/17/2021
Bjumper Lab,1.22,12/18/2021
Bjumper Lab,1.25,12/19/2021
Bjumper Lab,1.26,12/20/2021
Bjumper Lab,1.25,12/21/2021
Bjumper Lab,1.24,12/22/2021
Bjumper Lab,1.23,12/23/2021
Bjumper Lab,1.24,12/24/2021
Bjumper Lab,1.26,12/25/2021
Bjumper Lab,1.25,12/26/2021
Bjumper Lab,1.26,12/27/2021
Bjumper Lab,1.25,12/28/2021
Bjumper Lab,1.24,12/29/2021
Bjumper Lab,1.23,12/30/2021
Bjumper Lab,1.24,12/31/2021
Bjumper Lab,1.26,1/1/2022
Bjumper Lab,1.25,1/2/2022
Bjumper Lab,1.26,1/3/2022
Bjumper Lab,1.25,1/4/2022
Bjumper Lab,1.24,1/5/2022
Bjumper Lab,1.23,1/6/2022
Bjumper Lab,1.24,1/7/2022
Bjumper Lab,1.26,1/8/2022
Bjumper Lab,1.25,1/9/2022
Bjumper Lab,1.26,1/10/2022
Bjumper Lab,1.25,1/11/2022
Bjumper Lab,1.24,1/12/2022
Bjumper Lab,1.23,1/13/2022
Bjumper Lab,1.24,1/14/2022
Bjumper Lab,1.26,1/15/2022
Bjumper Lab,1.25,1/16/2022
Bjumper Lab,1.26,1/17/2022
Bjumper Lab,1.25,1/18/2022
Bjumper Lab,1.24,1/19/2022
Bjumper Lab,1.23,1/20/2022
Bjumper Lab,1.24,1/21/2022
Bjumper Lab,1.26,1/22/2022
Bjumper Lab,1.25,1/23/2022
Bjumper Lab,1.26,1/24/2022
Bjumper Lab,1.25,1/25/2022
Bjumper Lab,1.24,1/26/2022
Bjumper Lab,1.23,1/27/2022
Bjumper Lab,1.24,1/28/2022
Bjumper Lab,1.26,1/29/2022
Bjumper Lab,1.25,1/30/2022
Bjumper Lab,1.26,1/31/2022
Bjumper Lab,1.25,2/1/2022
Bjumper Lab,1.24,2/2/2022
Bjumper Lab,1.23,2/3/2022
Bjumper Lab,1.24,2/4/2022
Bjumper Lab,1.26,2/5/2022
Bjumper Lab,1.25,2/6/2022
Bjumper Lab,1.26,2/7/2022
Bjumper Lab,1.25,2/8/2022
Bjumper Lab,1.24,2/9/2022
Bjumper Lab,1.23,2/10/2022
Bjumper Lab,1.24,2/11/2022
Bjumper Lab,1.26,2/12/2022
Bjumper Lab,1.25,2/13/2022
Bjumper Lab,1.26,2/14/2022
Bjumper Lab,1.25,2/15/2022
Bjumper Lab,1.24,2/16/2022
Bjumper Lab,1.23,2/17/2022
Bjumper Lab,1.24,2/18/2022
Bjumper Lab,1.26,2/19/2022
Bjumper Lab,1.25,2/20/2022
Bjumper Lab,1.26,2/21/2022
Bjumper Lab,1.25,2/22/2022
Bjumper Lab,1.24,2/23/2022
Bjumper Lab,1.23,2/24/2022
Bjumper Lab,1.24,2/25/2022
Bjumper Lab,1.26,2/26/2022
Bjumper Lab,1.25,2/27/2022
Bjumper Lab,1.26,2/28/2022
